abelha bee
sobrinha niece
sobrinho nephew
socorro help
sol sun
soldado soldier
sopa soup
suburbio suburb
sujo dirty
sul south
supermercado supermarket
surpreendente surprising
surpresa surprise
tamanho size
também also
tarifa fare
tartaruga tortoise
tarte pie
teatro theatre
teto ceiling
telhado roof
tempestade storm
tenda tent
tesoura scissors
teste test
tia aunt
tigre tiger
tijolo brick
tio uncle
toalha towel
todos everybody
tomate tomato
toranja grapefruit
torneira tap
torrada toast
torre tower
tosse cough
trabalho work
tragédia tragedy
trânsito traffic
triste sad
turista tourist
útil useful
uva grape
vaca cow
vale valley
válido valid
vários several
vaso vase
vazio empty
velho old
vento wind
verdadeiramente really
verde green
vespa wasp
vestido dress
veterinário vet
viajante traveller
vida life
videojogo videogame
vinagre vinegar
violino violin
visita visit
vista view
vitela veal
vizinho neighbour
vovô grandad
vovó granny
xadrez chess
zangado angry
